lat_grid,lon_grid,hour,crime_count
0.0,0.0,0,31
0.0,0.0,1,31
0.0,0.0,2,37
0.0,0.0,3,30
0.0,0.0,4,16
0.0,0.0,5,35
0.0,0.0,6,43
0.0,0.0,7,47
0.0,0.0,8,83
0.0,0.0,9,115
0.0,0.0,10,145
0.0,0.0,11,209
0.0,0.0,12,207
0.0,0.0,13,195
0.0,0.0,14,205
0.0,0.0,15,187
0.0,0.0,16,151
0.0,0.0,17,122
0.0,0.0,18,79
0.0,0.0,19,68
0.0,0.0,20,62
0.0,0.0,21,51
0.0,0.0,22,46
0.0,0.0,23,45
33.7,-118.3,0,8
33.7,-118.3,1,6
33.7,-118.3,2,2
33.7,-118.3,4,7
33.7,-118.3,5,1
33.7,-118.3,6,5
33.7,-118.3,7,5
33.7,-118.3,8,7
33.7,-118.3,9,2
33.7,-118.3,10,9
33.7,-118.3,11,6
33.7,-118.3,12,9
33.7,-118.3,13,3
33.7,-118.3,14,6
33.7,-118.3,15,10
33.7,-118.3,16,15
33.7,-118.3,17,9
33.7,-118.3,18,6
33.7,-118.3,19,10
33.7,-118.3,20,12
33.7,-118.3,21,5
33.7,-118.3,22,13
33.7,-118.3,23,5
33.7,-118.29,0,5
33.7,-118.29,1,6
33.7,-118.29,2,4
33.7,-118.29,3,2
33.7,-118.29,4,8
33.7,-118.29,5,4
33.7,-118.29,6,2
33.7,-118.29,7,2
33.7,-118.29,8,6
33.7,-118.29,9,6
33.7,-118.29,10,4
33.7,-118.29,11,7
33.7,-118.29,12,10
33.7,-118.29,13,7
33.7,-118.29,14,6
33.7,-118.29,15,9
33.7,-118.29,16,6
33.7,-118.29,17,5
33.7,-118.29,18,8
33.7,-118.29,19,4
33.7,-118.29,20,8
33.7,-118.29,21,8
33.7,-118.29,22,14
33.7,-118.29,23,3
33.71,-118.33,0,2
33.71,-118.33,2,1
33.71,-118.33,9,1
33.71,-118.33,11,1
33.71,-118.33,12,1
33.71,-118.33,14,1
33.71,-118.33,16,1
33.71,-118.33,18,2
33.71,-118.33,19,2
33.71,-118.33,20,2
33.71,-118.33,21,1
33.71,-118.33,22,3
33.71,-118.32000000000001,4,1
33.71,-118.32000000000001,7,3
33.71,-118.32000000000001,8,2
